Type	Details	Particulars	Code	Reference	Amount	Date	ForeignCurrencyAmount	ConversionCharge
Automatic Payment	Savings	Weekly	Savings		-150.00	18/04/2019		
Automatic Payment	Union Boat Club	Judy Kumeroa	Subs		-10.00	18/04/2019		
Automatic Payment	Cullinane Board Of T	Neo School	Activity Fee	S	-10.00	18/04/2019		
Automatic Payment	Union Boat Club	Neo Tichbon	Subs		-10.00	18/04/2019		
Automatic Payment	Union Boat Club	Greg Tichbon	Subs		-10.00	18/04/2019		
Eft-Pos	Springvale Takeaway	4367********	8503   C	190418190054	-29.00	18/04/2019		
Payment	Suit Hire Services	Neo	Cullinane	Suit Hire	-85.00	18/04/2019		
Transfer	06-0996-0956968-05	Debit	Transfer	124519	-2400.00	17/04/2019		
Transfer	06-0996-0956968-04	Debit	Transfer	201928	-800.00	17/04/2019		
Payment	Neo Tichbon - Eftpos				-15.00	17/04/2019		
Direct Credit	Lake Taupo Forest Tr	Ltft Divi	Shn 80843		2431.95	17/04/2019		
Direct Credit	Whanganui D/Cncl				1316.68	17/04/2019		
Direct Credit	Rotoaira Forest Trus	Lrft Divi	Shn 80843		41.70	17/04/2019		
Eft-Pos	Thai House Express	4367********	8503   C	190416174715	-89.00	16/04/2019		
Eft-Pos	Trigger Point Massag	4367********	8503   C	190416083445	-42.00	16/04/2019		
Eft-Pos	Supervalue	4367********	8503   C	190416113613	-19.99	16/04/2019		
Transfer	06-0996-0956968-04	Credit	Transfer	174420	100.00	16/04/2019		
Deposit	W&I Benefit	G Tichbon	216437169359	Grace	50.00	16/04/2019		
Automatic Payment	Neo Tichbon - Eftpos	Pocket Money			-30.00	15/04/2019		
Eft-Pos	Tranquility Healing	4367********	8503   C	190413105933	-33.00	15/04/2019		
Eft-Pos	Kristys Cafe	4367********	8503   C	190415123855	-16.00	15/04/2019		
Eft-Pos	Kristys Cafe	4367********	8503   C	190415110104	-12.00	15/04/2019		
Eft-Pos	Fairfield Dairy	4367********	8503   C	190413152832	-6.00	15/04/2019		
Payment	J Thomason	Jacs			-30.00	15/04/2019		
Eft-Pos	Trigger Point Massag	4367********	8503   C	190412161520	-42.00	12/04/2019		
Eft-Pos	Eastcare Medical	4367********	8503   C	190412085209	-40.00	12/04/2019		
Automatic Payment	World Vision Of Nz		World Vision	Sponsorship	-200.00	11/04/2019		
Automatic Payment	Savings	Weekly	Savings		-150.00	11/04/2019		
Automatic Payment	Kotahitanga Tribal C	Koha	Makaranui		-20.00	11/04/2019		
Automatic Payment	Neo Tichbon	Neo	Savings		-20.00	11/04/2019		
Automatic Payment	Union Boat Club	Neo Tichbon	Subs		-10.00	11/04/2019		
Automatic Payment	Union Boat Club	Greg Tichbon	Subs		-10.00	11/04/2019		
Automatic Payment	Cullinane Board Of T	Neo School	Activity Fee	S	-10.00	11/04/2019		
Automatic Payment	Union Boat Club	Judy Kumeroa	Subs		-10.00	11/04/2019		
Eft-Pos	Springvale Takeaway	4367********	8503   C	190411190315	-24.40	11/04/2019		
Eft-Pos	Fitzies Bakery & Caf	4367********	8503   C	190411083935	-7.80	11/04/2019		
Eft-Pos	Fitzherbert Avenue D	4367********	8503   C	190411190443	-6.70	11/04/2019		
Transfer	06-0996-0956968-04	Debit	Transfer	225543	-700.00	11/04/2019		
Direct Debit	Amp Life Limited	100240302	Life	1236980	-137.24	10/04/2019		
Eft-Pos	Fitzies Bakery & Caf	4367********	8503   C	190410124651	-6.00	10/04/2019		
Atm Debit	Bnz  Z3674 Paknsave Wha	Bnz  Z3674	Paknsave Wha	Nganu 083839	-140.00	10/04/2019		
Deposit	Te Ora Hou Whanganui	J Kumeroa	Toh	Wage	1508.98	10/04/2019		
Eft-Pos	Trigger Point Massag	4367********	8503   C	190409154257	-42.00	09/04/2019		
Eft-Pos	Fitzies Bakery & Caf	4367********	8503   C	190409115611	-6.00	09/04/2019		
Transfer	06-0996-0956968-04	Debit	Transfer	222953	-1200.00	09/04/2019		
Deposit	W&I Benefit	G Tichbon	216437169359	Grace	50.00	09/04/2019		
Direct Debit	Amp		        Ampn	P901214763	-104.19	08/04/2019		
Direct Debit	Amp		        Ampn	P902515381	-45.85	08/04/2019		
Eft-Pos	Oceanview Speedway	4367********	6216   C	190406175829	-40.00	08/04/2019		
Eft-Pos	Fitzies Bakery & Caf	4367********	8503   C	190408083359	-11.30	08/04/2019		
Payment	Whanganui Dc Debtors	Parking	Ticket		-12.00	08/04/2019		
Bill Payment	D J Weston, L M John	Reimburse	Rowing	Maadi	1327.09	08/04/2019		
Payment	Neo Tichbon - Eftpos				-8.00	05/04/2019		
Automatic Payment	Savings	Weekly	Savings		-150.00	04/04/2019		
Automatic Payment	Union Boat Club	Neo Tichbon	Subs		-10.00	04/04/2019		
Automatic Payment	Cullinane Board Of T	Neo School	Activity Fee	S	-10.00	04/04/2019		
Automatic Payment	Union Boat Club	Greg Tichbon	Subs		-10.00	04/04/2019		
Automatic Payment	Union Boat Club	Judy Kumeroa	Subs		-10.00	04/04/2019		
Eft-Pos	Trigger Point Massag	4367********	8503   C	190404161317	-42.00	04/04/2019		
Eft-Pos	Fitzies Bakery & Caf	4367********	8503   C	190404084603	-15.40	04/04/2019		
Eft-Pos	Fitzies Bakery & Caf	4367********	8503   C	190404110733	-9.90	04/04/2019		
Transfer	06-0996-0956968-04	Debit	Transfer	150647	-2500.00	04/04/2019		
Transfer	06-0996-0956968-04	Debit	Transfer	223155	-1100.00	04/04/2019		
Direct Credit	Te Ora Hou Whanganui	Reimbursment	Ptl Computer	Toh Computer	1814.00	04/04/2019		
Direct Credit	Te Ora Hou Whanganui	Reimbursment	5 To 23 Marc	H	491.82	04/04/2019		
Direct Credit	Te Ora Hou Whanganui	Reimbursment	Mileage	March	225.57	04/04/2019		
Eft-Pos	Springvale Takeaway	4367********	8503   C	190403182222	-24.40	03/04/2019		
Eft-Pos	Fitzherbert Avenue D	4367********	8503   C	190403182539	-21.60	03/04/2019		
Eft-Pos	Fitzies Bakery & Caf	4367********	8503   C	190403083849	-16.30	03/04/2019		
Direct Credit	Whanganui D/Cncl				1316.68	03/04/2019		
Direct Debit	Genesis Energy		E0044152068	1001369272	-213.69	02/04/2019		
Eft-Pos	Ozturk Limited	4367********	6216   C	190402131522	-40.00	02/04/2019		
Eft-Pos	Fitzies Bakery & Caf	4367********	8503   C	190402083758	-11.70	02/04/2019		
Payment	Te Ora Hou Whangan	G Tichbon	Mentoring	Inv 280C	-1563.32	02/04/2019		
Transfer	06-0996-0956968-04	Debit	Transfer	125001	-1400.00	02/04/2019		
Payment	Te Ora Hou Whangan	G Tichbon	Mentoring	Inv272C	-545.50	02/04/2019		
Payment	Tichbon,Grace	Toh	Mentoring	Inv 280C	1563.32	02/04/2019		
